"","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1.Yes","HOME_VAL","MSTATUS.Yes","SEX.z_F","EDUCATION..High.School","EDUCATION.Bachelors","EDUCATION.Masters","EDUCATION.PhD","JOB.Clerical","JOB.Doctor","JOB.Home.Maker","JOB.Lawyer","JOB.Manager","JOB.Professional","JOB.Student","JOB.z_Blue.Collar","TRAVTIME","CAR_USE.Private","BLUEBOOK","TIF","CAR_TYPE.Minivan","CAR_TYPE.Panel.Truck","CAR_TYPE.Sports.Car","CAR_TYPE.Van","CAR_TYPE.z_SUV","RED_CAR.yes","OLDCLAIM","CLM_FREQ","REVOKED.Yes","MVR_PTS","CAR_AGE","URBANICITY.Highly.Urban..Urban"
"6168",0,0,0,44,2,13,4607,0,2478,1,1,0,0,0,0,0,0,0,0,1,0,0,0,52,1,2551,1,0,0,1,0,0,0,1,0,0,0,8,1
"3911",0,0,0,45,2,8,3795,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,49,1,803,4,0,0,0,0,1,0,2016,1,0,4,17,1
"356",0,0,0,56,0,13,2242,0,1001,1,1,0,0,0,0,1,0,0,0,0,0,0,0,20,1,2622,4,0,0,0,0,1,0,1,0,0,0,10,0
"5721",1,677,0,33,3,14,4564,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,9,1,586,1,1,0,0,0,0,1,1,0,0,0,1,1
"4261",0,0,1,40,1,11,765,0,4048,1,1,0,0,1,0,0,0,0,1,0,0,0,0,24,1,1477,6,1,0,0,0,0,0,1,0,0,0,17,1
"3954",0,0,0,49,0,8,6520,0,3843,0,0,0,0,1,0,0,0,0,1,0,0,0,0,25,1,1362,7,1,0,0,0,0,0,2281,2,0,5,14,1
"1903",0,0,0,39,0,9,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,79,1,2375,1,0,0,1,0,0,0,1523,1,0,0,1,1
"899",0,0,0,49,0,11,1,0,4761,0,1,0,0,1,0,0,0,0,1,0,0,0,0,17,1,2199,1,0,0,0,1,0,0,1,0,0,3,20,1
"4697",1,5301,0,34,4,13,4194,0,2424,1,1,0,0,0,0,0,0,0,0,0,0,0,1,34,0,347,1,0,0,0,0,1,0,1451,4,0,0,1,1
"5403",0,0,0,43,2,13,2224,0,296,1,0,0,0,1,0,0,0,0,1,0,0,0,0,11,1,337,10,1,0,0,0,0,1,1,0,0,0,10,1
"932",0,0,0,48,0,7,2798,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,2424,10,0,0,0,0,0,0,1,0,0,2,9,0
"997",0,0,0,47,0,10,4866,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,1,605,6,0,0,0,0,1,0,1,0,1,2,13,1
"2015",0,0,0,48,0,12,1,0,644,1,1,0,1,0,0,0,0,0,0,0,0,0,1,34,1,117,1,0,0,0,0,1,0,2670,1,0,5,10,1
"4717",1,4634.5378622,0,48,0,13,2027,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,11,0,1344,1,0,0,0,0,0,0,1,0,1,1,4,1
"5637",0,0,0,48,0,13,872,0,3900,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,1833,6,1,0,0,0,0,0,1,0,0,2,17,1
"4002",1,1402,0,67,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,33,1,2616,7,0,0,1,0,0,0,2272,1,0,0,10,1
"860",1,6879,0,40,3,16,4058,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,9,1,90,1,0,0,0,0,1,0,1,0,0,3,16,1
"3944",1,4978,0,52,0,12,3918,0,1019,0,1,0,1,0,0,0,0,0,0,0,1,0,0,27,1,190,9,0,0,0,0,1,0,88,1,0,6,1,1
"259",0,0,0,48,0,12,1852,0,534,1,1,0,1,0,0,0,0,0,0,1,0,0,0,30,1,679,13,0,0,0,0,1,0,1,0,0,0,9,1
"5434",0,0,0,50,0,10,1193,0,4577,1,1,0,0,0,1,0,0,0,0,1,0,0,0,12,1,671,1,0,0,0,0,1,0,1,0,0,0,18,1
"481",0,0,0,58,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,2528,4,0,0,0,0,0,1,969,3,0,8,1,0
"5418",0,0,0,35,4,14,1848,1,139,0,1,1,0,0,0,1,0,0,0,0,0,0,0,25,1,360,1,0,0,0,0,1,0,1,0,0,1,4,0
"2072",0,0,0,49,0,13,1107,0,4457,0,0,0,0,0,1,0,0,0,0,1,0,0,0,53,0,1319,6,0,1,0,0,0,0,1,0,0,0,22,1
"299",0,0,0,46,0,13,2176,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,2072,1,0,1,0,0,0,1,89,3,0,6,23,1
"3983",0,0,1,44,1,11,1689,0,436,1,1,0,0,0,0,1,0,0,0,0,0,0,0,12,1,626,4,0,0,0,0,1,0,2469,1,0,4,1,1
"2454",0,0,0,26,2,11,1504,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37,0,1694,1,0,1,0,0,0,1,1,0,0,0,10,0
"6458",0,0,0,49,0,13,5045,0,2551,1,0,0,1,0,0,0,0,0,0,0,1,0,0,6,1,61,13,0,0,0,0,0,0,303,1,0,4,19,1
"3720",0,0,0,52,0,12,2466,0,225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,1,315,14,1,0,0,0,0,1,382,3,1,5,6,1
"5412",0,0,0,53,0,11,3656,0,2400,1,0,0,1,0,0,0,0,0,0,0,1,0,0,36,1,168,10,0,0,0,0,0,0,1,0,0,2,11,1
"836",0,0,0,50,0,12,1891,0,4744,0,1,0,0,0,1,0,0,0,0,0,0,0,0,50,0,2449,1,0,0,0,0,0,0,1,0,0,3,16,1
"982",0,0,0,53,0,7,2708,0,4853,1,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,2102,6,0,1,0,0,0,0,849,2,0,1,17,1
"6290",1,6907,0,50,0,8,6300,0,3716,1,1,0,0,0,0,0,0,0,0,0,0,0,1,40,0,2470,17,0,0,0,0,1,0,1,0,1,0,10,1
"5468",0,0,0,51,0,10,2865,0,1119,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19,1,57,5,0,0,0,0,1,0,1,0,0,1,9,0
"6341",0,0,0,48,0,7,5238,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5,1,1668,4,0,0,0,0,0,0,1,0,0,0,11,1
"1540",0,0,0,43,2,15,4825,0,2137,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,641,6,0,0,1,0,0,0,105,2,0,5,1,1
"2274",1,2489,0,52,0,11,5999,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,65,1,700,1,1,0,0,0,0,0,1,0,0,1,17,1
"2552",1,3897,2,38,3,14,3991,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,0,62,9,1,0,0,0,0,0,1,0,1,0,6,1
"3427",0,0,0,42,4,14,1831,1,38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,31,1,877,11,0,0,0,0,1,0,1,0,0,0,1,0
"3032",0,0,1,42,2,14,389,0,887,1,1,0,0,0,0,0,0,0,0,0,0,1,0,33,1,475,6,1,0,0,0,0,0,1689,4,1,0,1,1
"727",0,0,0,46,1,13,4760,1,2086,0,1,0,1,0,0,0,0,0,0,0,1,0,0,18,1,1235,1,1,0,0,0,0,0,1800,1,0,6,6,1
"945",0,0,0,39,1,13,6399,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,37,1,1649,4,1,0,0,0,0,0,1,0,0,0,16,1
"3317",0,0,0,50,0,8,2694,0,1459,0,1,1,0,0,0,1,0,0,0,0,0,0,0,40,1,2257,17,0,0,0,0,1,0,1,0,0,2,6,1
"626",0,0,0,48,0,15,5889,0,3354,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,730,1,0,0,1,0,0,0,411,1,1,6,1,1
"4358",0,0,0,52,0,12,5098,0,3251,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1223,5,0,0,0,1,0,1,1,0,0,0,13,1
"4226",0,0,0,39,0,8,2422,0,1012,0,1,1,0,0,0,0,0,0,0,0,0,0,1,12,1,2636,7,0,0,0,0,1,0,1265,1,1,0,5,1
"1396",0,0,0,51,0,11,1933,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,57,1,2690,9,0,0,0,0,1,0,1,0,0,0,1,1
"5123",1,3676,2,37,4,16,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,23,0,1,1,0,0,1,0,0,0,1714,1,1,2,1,1
"4470",0,0,0,45,0,8,5599,0,2752,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,2079,7,1,0,0,0,0,1,1,0,0,0,6,1
"2818",1,2002,0,53,0,9,2415,0,229,1,1,0,0,0,0,1,0,0,0,0,0,0,0,28,1,2770,1,0,0,0,0,1,0,1,0,0,0,9,1
"1015",0,0,0,55,0,5,4613,0,2817,1,0,0,1,0,0,0,0,0,0,1,0,0,0,15,1,541,7,1,0,0,0,0,1,1,0,0,0,14,1
"5990",0,0,0,36,0,10,6456,0,3369,1,0,0,1,0,0,0,0,0,0,1,0,0,0,19,0,2334,9,0,0,0,0,0,1,572,3,0,0,9,1
"4746",0,0,0,38,3,16,4369,0,3169,1,1,0,1,0,0,1,0,0,0,0,0,0,0,35,1,2508,4,0,0,1,0,0,0,1,0,0,1,9,0
"6184",1,4931,0,42,0,12,1,0,1445,1,1,0,0,0,0,0,0,0,0,0,0,0,1,77,0,359,1,0,0,0,0,1,0,1064,2,0,0,8,1
"517",0,0,0,48,0,14,3768,0,1714,1,1,0,1,0,0,0,0,0,0,0,1,0,0,36,1,1578,3,0,0,0,0,0,0,1,0,0,0,8,1
"33",0,0,0,39,0,10,2768,0,2104,1,0,0,1,0,0,0,0,0,0,0,0,0,1,38,0,670,4,0,0,0,1,0,1,1,0,0,0,13,1
"6478",0,0,0,39,0,13,4014,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,59,0,2357,10,0,0,0,0,1,0,1,0,0,0,8,0
"103",0,0,0,47,0,13,3519,0,1084,1,0,0,1,0,0,1,0,0,0,0,0,0,0,33,0,1786,6,0,1,0,0,0,1,1,0,0,0,5,1
"5348",0,0,0,33,3,15,5727,0,2706,1,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,2254,12,0,0,0,0,0,1,813,2,1,1,6,1
"2157",0,0,0,42,0,10,6078,0,3170,1,0,0,0,1,0,0,0,0,0,0,1,0,0,32,1,2554,9,0,0,0,0,0,0,1,0,0,0,16,1
"1353",1,6535,0,50,0,6,4235,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,36,0,1464,5,0,0,0,0,0,0,1608,3,0,7,6,1
"1693",0,0,0,59,0,0,2,0,301,1,1,0,0,0,1,0,1,0,0,0,0,0,0,17,1,2784,4,0,0,0,0,1,0,1,0,0,0,9,1
"4172",0,0,0,57,0,8,4984,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,27,1,811,1,0,0,0,0,1,1,1,0,0,1,17,1
"5897",0,0,0,61,0,7,3972,0,3011,1,0,1,0,0,0,0,0,0,0,0,0,0,1,8,1,2566,6,0,0,1,0,0,1,377,1,1,4,1,0
"5611",0,0,0,45,0,11,4162,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,30,1,1161,4,1,0,0,0,0,0,1,0,0,2,10,1
"3619",0,0,0,50,0,12,5639,0,3143,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,711,1,0,0,0,0,1,0,1,0,0,3,1,1
"2781",1,1630,1,36,3,0,2,0,4838,1,1,1,0,0,0,0,0,0,0,0,0,1,0,31,1,2441,1,0,0,1,0,0,0,1,0,0,1,1,1
"16",0,0,0,39,3,12,4009,1,1590,0,1,0,1,0,0,1,0,0,0,0,0,0,0,43,1,75,6,0,0,0,0,1,0,1,0,0,0,13,0
"5477",0,0,0,44,1,17,6205,0,4850,1,1,1,0,0,0,1,0,0,0,0,0,0,0,33,1,2479,9,0,0,0,0,1,0,1,0,0,2,6,1
"3804",0,0,0,36,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,65,0,653,1,0,0,0,1,0,1,722,2,0,6,10,0
"3320",1,4193,0,48,0,12,4489,0,2943,0,1,0,0,1,0,0,0,0,1,0,0,0,0,45,1,1061,6,0,0,0,0,1,0,2214,1,0,0,16,1
"5445",1,3321,0,40,3,16,6362,0,3623,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,2365,13,0,0,0,0,0,1,1,0,0,0,10,1
"988",0,0,0,49,0,10,5899,0,2338,1,1,0,1,0,0,0,0,0,0,0,1,0,0,40,1,318,1,0,0,0,0,1,0,1,0,0,0,7,1
"82",0,0,0,55,0,7,3560,0,1401,1,1,0,0,1,0,0,0,0,1,0,0,0,0,5,1,931,6,1,0,0,0,0,0,1,0,0,0,13,1
"6040",0,0,0,54,0,14,5264,0,3155,1,0,0,1,0,0,0,0,0,0,0,1,0,0,56,1,968,4,1,0,0,0,0,1,1,0,0,4,16,0
"6001",0,0,0,48,0,17,1901,0,630,1,0,0,0,0,0,0,0,0,0,0,1,0,0,28,1,2655,6,0,0,0,0,0,0,1,0,0,0,7,1
"914",0,0,0,51,0,9,4918,0,2366,0,1,0,0,0,0,0,0,0,0,0,0,0,1,42,0,1944,1,1,0,0,0,0,0,1,0,0,0,6,0
"4421",0,0,0,52,0,0,2,0,68,0,1,0,1,0,0,0,0,1,0,0,0,0,0,70,1,516,1,0,0,0,0,1,0,1,0,0,0,12,0
"5742",0,0,0,43,0,7,1579,0,5054,0,0,1,0,0,0,1,0,0,0,0,0,0,0,34,1,1068,1,1,0,0,0,0,0,138,2,0,6,8,1
"2344",0,0,0,45,1,12,801,0,4399,1,0,0,0,1,0,0,0,0,1,0,0,0,0,41,1,2555,4,0,0,0,0,1,0,1,0,0,2,14,1
"149",0,0,0,80,2,23,6533,0,4436,1,0,0,1,0,0,0,0,0,0,0,1,0,0,14,1,600,13,1,0,0,0,0,1,1,0,0,2,10,1
"5689",0,0,0,49,0,7,4306,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,35,1,214,3,0,0,1,0,0,0,1330,2,1,0,11,1
"100",0,0,1,38,1,7,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,40,1,2503,4,0,0,1,0,0,0,1,0,0,0,10,0
"5095",0,0,0,26,2,11,1766,0,215,1,0,1,0,0,0,1,0,0,0,0,0,0,0,33,1,2427,1,1,0,0,0,0,0,1,0,0,0,1,0
"2346",1,4148,0,36,3,16,2413,0,93,1,1,0,0,0,0,0,0,0,0,0,0,0,1,32,0,639,10,0,0,0,0,1,0,1,0,1,0,12,1
"2450",1,5301,1,38,2,13,3579,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,39,1,890,1,1,0,0,0,0,0,1,0,0,3,9,1
"91",0,0,1,38,3,16,5201,0,172,1,0,1,0,0,0,1,0,0,0,0,0,0,0,26,1,2604,1,0,0,0,0,0,1,1,0,0,0,8,0
"5174",0,0,0,47,0,12,1,0,2101,1,0,0,0,1,0,0,0,0,1,0,0,0,0,24,1,452,6,1,0,0,0,0,1,1,0,0,2,12,1
"2336",1,8876,3,39,3,14,3448,1,2701,0,1,0,0,1,0,0,0,0,0,1,0,0,0,37,1,2773,1,0,0,1,0,0,0,1986,3,0,6,13,1
"4816",1,1791.3944575,0,32,4,0,2,0,4778,1,0,1,0,0,0,0,0,0,0,0,0,1,0,36,0,2707,10,0,0,0,0,0,1,1,0,0,4,1,1
"5878",0,0,0,50,0,13,1433,0,4619,1,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,910,11,0,0,0,1,0,0,1,0,1,4,8,1
"6204",0,0,0,52,0,12,3651,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,41,1,847,10,0,0,0,0,1,0,1,0,0,0,10,1
"1309",0,0,0,52,0,14,5478,0,3093,1,1,0,1,0,0,0,0,0,0,0,1,0,0,5,0,1256,9,0,0,0,0,0,0,1,0,0,0,7,1
"2897",1,3670,0,42,2,12,1,0,1226,1,0,0,0,1,0,0,0,0,1,0,0,0,0,69,1,215,4,0,0,0,0,0,1,408,2,1,3,12,1
"5740",0,0,0,42,0,13,817,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,1686,13,0,1,0,0,0,1,1,0,0,1,14,1
"1877",0,0,0,47,0,8,1,0,275,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18,1,2747,1,1,0,0,0,0,0,1,0,0,2,3,1
"427",0,0,0,48,0,10,6376,0,3799,1,0,0,0,1,0,0,0,0,1,0,0,0,0,30,1,572,9,1,0,0,0,0,1,2040,3,0,5,1,1
"4089",1,6296,0,30,3,9,4684,0,1701,1,1,0,1,0,0,1,0,0,0,0,0,0,0,28,1,83,1,0,0,0,0,1,0,1,0,1,0,14,1
"5232",1,4172,0,39,2,9,912,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,41,1,878,6,1,0,0,0,0,0,774,2,1,0,15,1
"4680",0,0,0,39,3,0,2,1,4814,0,1,0,0,0,0,0,0,1,0,0,0,0,0,56,1,2357,10,0,0,0,0,1,0,1,0,0,0,9,0
"951",0,0,3,41,3,14,804,0,4377,1,1,0,0,1,0,0,0,0,0,0,1,0,0,10,0,2314,13,0,0,0,1,0,0,1,0,0,4,9,1
"1537",0,0,0,60,0,14,4826,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,58,0,402,7,1,0,0,0,0,1,182,3,0,6,12,1
"5261",0,0,0,46,0,8,3749,0,1915,1,1,0,1,0,0,0,0,0,0,0,0,0,1,45,1,271,10,0,0,0,0,1,0,2419,1,0,3,7,0
"5838",1,1700,0,35,0,8,6482,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,46,0,443,15,0,0,0,0,1,0,995,2,0,5,5,1
"1925",1,8496,0,42,0,0,5209,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25,1,2448,1,0,0,0,0,1,0,1429,1,0,2,8,1
"4407",0,0,0,35,0,7,1388,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,35,1,245,1,0,0,0,0,1,0,2466,1,0,4,6,1
"2960",1,5157,0,49,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,499,1,1,0,0,0,0,0,1,0,1,2,11,1
"4570",0,0,0,47,0,10,3358,0,1461,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,1,1094,4,0,0,0,1,0,1,1,0,0,0,1,1
"2859",1,6188,0,23,3,6,3868,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,1,2230,6,0,0,0,0,1,0,302,3,0,8,16,1
"1578",1,3143,0,42,0,10,2758,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,22,0,1388,4,1,0,0,0,0,1,1890,2,0,5,6,1
"6186",0,0,0,47,0,8,4500,0,2920,1,1,0,1,0,0,0,0,0,0,1,0,0,0,40,1,869,6,1,0,0,0,0,0,1,0,0,0,11,1
"4856",1,3674,0,53,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28,0,808,7,0,0,0,0,0,0,658,3,1,0,6,1
"1889",0,0,2,42,2,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,35,0,804,7,1,0,0,0,0,0,1,0,0,1,6,0
"1275",0,0,1,38,3,11,5431,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,61,0,1084,1,1,0,0,0,0,0,1,0,0,0,10,0
"3513",0,0,0,54,0,10,301,0,4259,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,1777,21,0,1,0,0,0,0,1,0,0,2,1,1
"6492",0,0,0,66,0,15,6268,0,3491,1,1,0,0,1,0,0,0,0,1,0,0,0,0,32,1,1142,4,0,0,1,0,0,0,1,0,0,1,17,1
"4121",0,0,2,37,2,10,2020,0,532,1,0,1,0,0,0,0,0,0,0,0,0,0,1,52,1,2562,7,1,0,0,0,0,1,1,0,0,4,6,1
"1907",1,4298,0,52,0,10,3835,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,38,0,2467,1,0,0,0,0,0,1,1565,3,0,0,11,1
"703",0,0,0,45,2,0,2,0,201,1,0,1,0,0,0,0,0,0,0,0,0,1,0,21,1,2483,1,0,0,0,0,0,1,1,0,0,0,7,1
"3616",0,0,0,50,0,10,1,0,1538,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13,1,2728,6,0,0,0,0,1,0,1,0,0,2,8,1
"3921",0,0,0,49,0,12,1,0,1185,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31,0,119,10,0,0,0,0,1,0,1,0,0,0,1,1
"3310",0,0,1,36,2,0,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,36,1,1,6,0,0,0,0,1,0,1,0,0,3,7,1
"4719",0,0,0,47,0,14,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56,0,1581,1,0,1,0,0,0,0,1997,1,1,0,12,1
"2310",1,2360,1,43,1,10,607,1,4202,0,1,0,0,0,1,0,0,0,1,0,0,0,0,35,1,1,1,0,0,0,0,1,0,1,0,0,1,15,1
"3576",0,0,0,38,0,9,1444,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,21,1,1312,1,0,0,0,0,0,0,1,0,0,0,19,1
"5039",1,3527,0,33,1,13,3786,1,2559,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,231,4,0,0,0,0,0,0,859,2,0,7,8,0
"4395",0,0,0,47,0,0,2,0,510,1,0,0,1,0,0,0,0,1,0,0,0,0,0,28,1,2381,6,1,0,0,0,0,0,1350,1,0,4,13,1
"4005",0,0,0,36,0,7,5591,0,3162,0,1,0,1,0,0,0,0,0,0,0,0,0,1,67,0,313,1,0,0,1,0,0,0,1,0,0,2,1,0
"2417",0,0,0,49,0,9,6406,0,3719,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,1,2130,7,1,0,0,0,0,1,1,0,0,0,11,1
"2560",1,5396,0,36,3,14,1340,0,4576,1,0,0,1,0,0,0,0,0,0,0,1,0,0,33,1,2334,6,0,0,0,0,0,1,588,1,0,0,13,1
"3441",0,0,0,46,0,9,4348,0,2317,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,194,7,0,0,0,0,0,1,126,2,0,0,11,1
"754",0,0,0,55,0,11,3455,0,2396,1,1,0,1,0,0,0,0,0,0,1,0,0,0,27,1,597,10,0,0,0,0,1,0,1,0,0,0,11,1
"4895",1,5386,2,61,2,14,2884,0,1391,1,0,0,0,0,0,1,0,0,0,0,0,0,0,28,1,2633,7,0,0,0,0,1,1,41,3,0,1,1,1
"6050",1,3883,0,34,3,0,2,0,4857,1,1,0,1,0,0,0,0,1,0,0,0,0,0,36,1,2258,1,0,0,1,0,0,0,1,0,0,0,6,1
"2910",0,0,0,46,0,11,1572,0,278,1,0,1,0,0,0,1,0,0,0,0,0,0,0,52,0,932,10,0,0,0,1,0,1,1,0,0,0,1,0
"1248",0,0,0,45,3,11,1734,1,4663,0,1,0,0,0,1,0,0,0,1,0,0,0,0,42,1,1666,4,0,0,0,0,0,0,1,0,0,0,5,1
"2822",1,10145.498101,0,47,0,9,1168,0,819,1,1,0,0,0,0,1,0,0,0,0,0,0,0,22,1,802,4,0,0,0,0,1,0,1398,1,0,5,1,1
"4390",0,0,2,43,3,0,2,0,4820,1,1,0,0,0,0,0,0,1,0,0,0,0,0,30,1,2390,1,0,0,0,0,1,0,1267,2,0,5,10,1
"607",1,6220,0,54,0,14,5870,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,39,1,513,4,0,0,1,0,0,0,1,0,0,0,16,1
"2812",0,0,0,64,0,15,5225,0,3268,1,0,0,0,1,0,0,0,0,1,0,0,0,0,29,1,37,1,0,0,0,0,1,1,1,0,0,0,16,1
"2831",1,1431,0,43,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,27,1,2404,7,0,0,1,0,0,0,1,0,0,0,1,1
"546",0,0,0,34,1,14,3839,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,76,1,2618,4,0,0,0,0,1,0,1,0,0,1,9,0
"2474",0,0,0,50,0,12,5058,0,2091,1,0,1,0,0,0,0,0,0,0,0,0,0,1,44,0,932,17,0,0,0,1,0,0,1,0,0,4,6,0
"4567",0,0,0,50,0,10,1842,0,469,1,1,0,0,0,0,1,0,0,0,0,0,0,0,17,1,2449,11,0,0,0,0,1,0,1,0,0,0,1,0
"2236",0,0,0,57,0,14,4363,0,2198,1,1,0,0,0,0,1,0,0,0,0,0,0,0,66,1,2518,4,0,0,0,0,1,0,1,0,1,0,1,0
"254",0,0,1,55,1,14,1383,0,198,1,1,0,1,0,0,0,0,1,0,0,0,0,0,32,1,345,1,0,0,0,0,1,0,2267,1,0,3,8,0
"268",0,0,0,48,0,10,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,43,1,1396,4,1,0,0,0,0,0,1,0,0,1,10,0
"4736",0,0,0,51,0,12,2954,0,930,1,1,0,0,0,0,0,0,0,0,0,0,0,1,23,1,1,4,0,0,1,0,0,0,1,0,0,0,6,1
